cz,czname,state_id,pop2000,s_rank,e_rank_b,prob_p1_k5,bowl90,mergebowlingalleys,bowl_per_capita
26802,Lisbon,North Dakota,16013,.23695999,59.829998,.23529412,1,matched (3),.62449259
26803,Jamestown,North Dakota,38384,.23617999,56.497501,.2240566,5,matched (3),1.3026261
26901,Fergus Falls,Minnesota,117558,.2807,52.786499,.15230769,7,matched (3),.59545076
26902,Little Falls,Minnesota,69851,.25678,51.952503,.16455697,1,matched (3),.14316188
27005,Yankton,South Dakota,47901,.2014,57.622002,.17120001,4,matched (3),.83505565
27006,Mitchell,South Dakota,27613,.28760001,52.27,.13381995,1,matched (3),.36214826
27009,Chamberlain,South Dakota,11291,.46891001,40.951752,.080419578,1,matched (3),.88566113
27011,Pierre,South Dakota,20809,.39175999,46.671001,.092436977,1,matched (3),.48056129
27101,Willmar,Minnesota,85394,.28518999,51.92075,.12471396,7,matched (3),.81972975
27202,Worthington,Minnesota,60435,.27386999,54.339748,.14029364,6,matched (3),.9928022
27301,Spencer,Iowa,61106,.26592001,53.883999,.18500797,8,matched (3),1.3092004
27302,Fairmont,Minnesota,49010,.29429999,52.016499,.12871288,5,matched (3),1.0202
27401,Storm Lake,Iowa,52812,.30351001,54.796749,.17343174,4,matched (3),.75740361
27402,Fort Dodge,Iowa,101165,.31597,49.674252,.13004485,8,matched (3),.79078734
27501,Des Moines,Iowa,595842,.34825999,45.307499,.091024823,23,matched (3),.38600838
27502,Creston,Iowa,35600,.31384999,48.499249,.12451362,2,matched (3),.56179774
27503,Atlantic,Iowa,34687,.30847001,53.175751,.15158372,2,matched (3),.57658488
27601,Rapid City,South Dakota,158442,.31231001,45.678749,.093032956,6,matched (3),.37868747
27701,Scottsbluff,Nebraska,65903,.28218001,49.681499,.11940298,7,matched (3),1.0621672
27702,Cheyenne,Wyoming,95526,.27917001,46.08025,.095637582,5,matched (3),.52341771
27703,Torrington,Wyoming,21345,.26478001,50.880501,.17158177,2,matched (3),.93698758
27704,Gordon,South Dakota,22238,.40092,34.812,.031948883,2,matched (3),.89936143
27801,Virginia Beach,Nebraska,56990,.25762001,52.2355,.15160796,5,matched (3),.87734687
27802,Columbus,Nebraska,61167,.22113,55.721249,.1691843,8,matched (3),1.3078948
27901,Hastings,Nebraska,42251,.26960999,51.48225,.11111111,4,matched (3),.94672316
27902,York,Nebraska,26871,.28499001,54.859749,.18681319,3,matched (3),1.1164452
27903,Grand Island,Nebraska,77708,.28832999,50.26825,.14209968,4,matched (3),.5147475
28001,Sioux City,Iowa,187773,.30419001,48.574749,.11252354,13,matched (3),.69232529
28002,West Point,Nebraska,25165,.44701001,46.50425,.1003861,3,matched (3),1.1921319
28101,Lincoln,Nebraska,311956,.33015999,45.454002,.091316752,11,matched (3),.35261384
28102,Nebraska City,Nebraska,40078,.27144,52.616001,.15835141,4,matched (3),.99805379
28201,Red Oak,Iowa,48197,.30085,51.020248,.12421384,2,matched (3),.41496357
28202,Omaha,Nebraska,803201,.35894001,43.1105,.077540748,32,matched (3),.39840588
28301,Sterling,Colorado,39751,.26300001,51.841,.14463453,1,matched (3),.25156599
28302,Ogallala,Nebraska,16920,.27158999,53.534748,.16228071,2,matched (3),1.1820331
28305,Broken Bow,Nebraska,13105,.25781,55.512249,.17647059,1,matched (3),.76306754
28306,North Platte,Nebraska,35939,.27678001,48.2915,.12276786,1,matched (3),.27824926
28401,Colorado Springs,Colorado,587132,.27759999,41.801998,.089342691,9,matched (3),.1532875
28502,Pueblo,Colorado,187782,.34386,40.938499,.065621682,7,matched (3),.37277269
28503,Trinidad,Colorado,23069,.28878,44.813499,.11764706,1,matched (3),.43348217
